AO,MQ-4,Nano,Diff,|Diff|
0.186569,5679,4649,1030,1030
0.186081,5607,4593,1014,1014
0.185592,5535,4470,1065,1065
0.184127,5322,4399,923,923
0.183883,5287,4273,1014,1014
0.183150,5181,4223,958,958
0.181929,5006,4093,913,913
0.181441,4936,3979,957,957
0.180952,4867,3913,954,954
0.180220,4763,3800,963,963
0.178999,4591,3756,835,835
0.178999,4591,3657,934,934
0.178266,4489,3617,872,872
0.177534,4388,3521,867,867
0.177045,4320,3473,847,847
0.176801,4287,3388,899,899
0.175824,4153,3290,863,863
0.174603,3988,3247,741,741
0.174603,3988,3163,825,825
0.173871,3889,3107,782,782
0.173138,3792,3006,786,786
0.172405,3695,2957,738,738
0.172405,3695,2862,833,833
0.171917,3630,2817,813,813
0.171184,3534,2747,787,787
0.170696,3471,2668,803,803
0.169231,3282,2636,646,646
0.168987,3251,2562,689,689
0.168254,3158,2507,651,651
0.167766,3096,2442,654,654
0.168254,3158,2406,752,752
0.167766,3096,2333,763,763
0.165568,2823,2302,521,521
0.165812,2853,2239,614,614
0.165079,2763,2153,610,610
0.164103,2645,2106,539,539
0.164103,2645,2037,608,608
0.163614,2586,2001,585,585
0.162882,2498,1937,561,561
0.162882,2498,1901,597,597
0.163126,2527,1823,704,704
0.161905,2383,1791,592,592
0.161416,2325,1714,611,611
0.161172,2297,1691,606,606
0.160928,2268,1640,628,628
0.159951,2156,0,2156,2156
0.159463,2100,0,2100,2100
0.159707,2128,0,2128,2128
0.158486,1989,0,1989,1989
0.158974,2044,1321,723,723
0.157998,1934,0,1934,1934
0.157509,1879,0,1879,1879
0.156532,1771,0,1771,1771
0.156532,1771,0,1771,1771
0.156777,1798,0,1798,1798
0.155800,1691,0,1691,1691
0.157509,1879,0,1879,1879
0.155556,1665,0,1665,1665
0.155556,1665,0,1665,1665
0.154090,1507,0,1507,1507
0.153846,1482,0,1482,1482
0.153602,1456,0,1456,1456
0.153114,1404,0,1404,1404
0.256654,10463,0,10463,10463
0.265446,7723,0,7723,7723
0.263492,8484,10563,-2079,2079
0.264957,7922,12300,-4378,4378
0.266422,7305,14399,-7094,7094
0.266422,7305,15150,-7845,7845
0.266911,7087,16274,-9187,9187
0.266422,7305,16652,-9347,9347
0.264957,7922,17133,-9211,9211
0.264469,8116,17315,-9199,9199
0.263980,8303,17333,-9030,9030
0.262759,8746,17264,-8518,8518
0.261294,9231,17205,-7974,7974
0.261050,9307,17038,-7731,7731
0.259585,9736,16943,-7207,7207
0.259096,9870,16723,-6853,6853
0.257143,10354,16606,-6252,6252
0.256654,10463,16360,-5897,5897
0.255678,10669,16123,-5454,5454
0.255189,10765,15994,-5229,5229
0.254212,10945,15737,-4792,4792
0.252259,11258,15615,-4357,4357
0.251526,11359,15395,-4036,4036
0.250549,11482,15282,-3800,3800
0.249328,11616,15016,-3400,3400
0.248352,11708,14880,-3172,3172
0.246886,11822,14641,-2819,2819
0.246398,11854,14408,-2554,2554
0.244933,11933,14306,-2373,2373
0.244444,11954,14064,-2110,2110
0.243712,11980,13955,-1975,1975
0.242491,12011,13705,-1694,1694
0.241514,12024,13586,-1562,1562
0.241026,12027,13331,-1304,1304
0.239560,12022,13205,-1183,1183
0.237607,11986,12987,-1001,1001
0.238095,11998,12772,-774,774
0.236142,11938,12657,-719,719
0.236142,11938,12428,-490,490
0.234676,11874,12330,-456,456
0.234432,11861,12115,-254,254
0.233455,11808,12021,-213,213
0.232723,11764,11828,-64,64
0.231746,11699,11706,-7,7
0.230525,11611,11519,92,92
0.229792,11553,11335,218,218
0.229060,11493,11254,239,239
0.227595,11363,11081,282,282
0.226618,11271,10995,276,276
0.226374,11247,10803,444,444
0.225885,11199,10710,489,489
0.225885,11199,10529,670,670
0.223932,10995,10436,559,559
0.223687,10968,10254,714,714
0.222466,10831,10089,742,742
0.222466,10831,10011,820,820
0.221734,10747,9842,905,905
0.221001,10660,9766,894,894
0.220024,10542,9625,917,917
0.219536,10482,9555,927,927
0.219048,10421,9405,1016,1016
0.217338,10203,9327,876,876
0.217094,10171,9178,993,993
0.215629,9977,9027,950,950
0.215385,9944,8961,983,983
0.215629,9977,8810,1167,1167
0.214652,9845,8727,1118,1118
0.213919,9744,8590,1154,1154
0.212943,9608,8533,1075,1075
0.212454,9540,8383,1157,1157
0.211722,9437,8300,1137,1137
0.210989,9332,8158,1174,1174
0.208303,8943,7989,954,954
0.209280,9086,7925,1161,1161
0.208303,8943,7770,1173,1173
0.207082,8763,7688,1075,1075
0.207326,8800,7521,1279,1279
0.206349,8655,7445,1210,1210
0.205617,8546,7286,1260,1260
0.205128,8473,7198,1275,1275
0.204884,8437,7048,1389,1389
0.202930,8143,6907,1236,1236
0.202930,8143,-100,8243,8243
0.200488,7774,-100,7874,7874
5500.0,-1,-1,0,0
0.197070,7255,0,7255,7255
0.195604,7032,0,7032,7032
0.195116,6958,0,6958,6958
0.194139,6810,0,6810,6810
0.193162,6663,0,6663,6663
0.193407,6699,0,6699,6699
0.191941,6479,0,6479,6479
0.192186,6515,0,6515,6515
0.191209,6368,0,6368,6368
0.189988,6186,0,6186,6186
0.189255,6076,0,6076,6076
0.188278,5931,0,5931,5931
0.187790,5859,0,5859,5859
0.187302,5787,0,5787,5787
0.187057,5751,0,5751,5751
0.185592,5535,0,5535,5535
0.185104,5464,0,5464,5464
0.184615,5393,0,5393,5393
0.183639,5251,0,5251,5251
0.210745,9297,0,9297,9297
0.243712,11980,0,11980,11980
0.242491,12011,5055,6956,6956
0.245910,11884,6479,5405,5405
0.245421,11910,8401,3509,3509
0.244444,11954,8932,3022,3022
0.243468,11987,9403,2584,2584
0.242002,12018,9430,2588,2588
0.242002,12018,9321,2697,2697
0.240293,12027,9216,2811,2811
0.239072,12016,8939,3077,3077
0.237607,11986,8608,3378,3378
0.236386,11947,8458,3489,3489
0.235653,11919,8163,3756,3756
0.234188,11849,8029,3820,3820
0.233455,11808,7735,4073,4073
0.231502,11682,-100,11782,11782
0.228816,11472,-100,11572,11572
0.214164,9778,-100,9878,9878
0.216117,10042,-100,10142,10142
5500.0,-1,-1,0,0
0.211477,9402,0,9402,9402
0.208791,9015,0,9015,9015
0.207326,8800,0,8800,8800
0.205617,8546,0,8546,8546
0.204396,8363,0,8363,8363
0.203663,8253,0,8253,8253
0.204884,8437,0,8437,8437
0.201221,7885,0,7885,7885
0.199512,7625,0,7625,7625
0.199267,7588,0,7588,7588
0.244689,11944,0,11944,11944
0.241026,12027,2132,9895,9895
0.242002,12018,4759,7259,7259
0.241270,12026,5482,6544,6544
0.240049,12026,6179,5847,5847
0.238584,12008,6290,5718,5718
0.236630,11956,6302,5654,5654
0.234676,11874,6245,5629,5629
0.234676,11874,6034,5840,5840
0.231990,11716,5892,5824,5824
5500.0,-1,-1,0,0
5500.0,-1,-1,0,0
0.075702,-2980,0,-2980,2980
0.076435,-2965,0,-2965,2965
0.077656,-2940,0,-2940,2940
0.257143,10354,0,10354,10354
0.257143,10354,0,10354,10354
0.259585,9736,10672,-936,936
0.259585,9736,13112,-3376,3376
0.260317,9528,15817,-6289,6289
0.259341,9804,16462,-6658,6658
0.259585,9736,17001,-7265,7265
0.257143,10354,17043,-6689,6689
0.254945,10812,16888,-6076,6076
0.253236,11109,16746,-5637,5637
0.251282,11391,16397,-5006,5006
0.250794,11453,15994,-4541,4541
0.248352,11708,15776,-4068,4068
0.247619,11769,15344,-3575,3575
0.243956,11972,15130,-3158,3158
0.243956,11972,14699,-2727,2727
0.241270,12026,14484,-2458,2458
0.239072,12016,14068,-2052,2052
0.237607,11986,13857,-1871,1871
0.235165,11897,13441,-1544,1544
0.234188,11849,13035,-1186,1186
0.231990,11716,12840,-1124,1124
0.231013,11647,12445,-798,798
0.228571,11451,12256,-805,805
0.227839,11385,11868,-483,483
0.224908,11099,11682,-583,583
0.223932,10995,11303,-308,308
0.221001,10660,10951,-291,291
0.220269,10572,10781,-209,209
0.218315,10329,10432,-103,103
0.217338,10203,10269,-66,66
0.215385,9944,9937,7,7
0.213675,9710,9775,-65,65
0.213187,9643,9477,166,166
0.210256,9227,9326,-99,99
0.209524,9121,9044,77,77
0.208547,8979,8778,201,201
0.206593,8691,8638,53,53
0.205617,8546,8394,152,152
0.204151,8327,8269,58,58
0.202930,8143,8027,116,116
0.201709,7959,7908,51,51
0.200733,7811,7671,140,140
0.198291,7440,7554,-114,114
0.197802,7366,7324,42,42
0.197070,7255,7219,36,36
0.194872,6921,6999,-78,78
0.194383,6847,6791,56,56
0.193162,6663,6699,-36,36
0.191941,6479,6508,-29,29
0.190965,6332,6417,-85,85
0.190232,6222,6239,-17,17
0.188523,5967,6150,-183,183
0.188034,5895,5980,-85,85
0.187302,5787,5887,-100,100
0.185592,5535,5725,-190,190
0.185104,5464,5566,-102,102
0.183394,5216,5490,-274,274
0.182906,5146,5332,-186,186
0.182418,5076,5266,-190,190
0.181197,4901,5117,-216,216
0.179976,4728,5039,-311,311
0.179243,4625,4904,-279,279
0.177778,4421,4822,-401,401
0.177289,4354,4696,-342,342
0.176557,4253,4553,-300,300
0.174847,4021,4490,-469,469
0.174603,3988,4363,-375,375
0.174115,3922,4296,-374,374
0.172650,3727,4174,-447,447
0.171184,3534,4102,-568,568
0.170696,3471,3976,-505,505
0.169719,3345,3916,-571,571
0.169719,3345,3806,-461,461
0.168498,3189,3695,-506,506
0.168010,3127,3641,-514,514
0.167766,3096,3541,-445,445
0.167277,3035,3498,-463,463
0.167277,3035,0,3035,3035
0.165324,2793,0,2793,2793
0.164835,2733,0,2733,2733
0.163858,2615,0,2615,2615
0.162882,2498,0,2498,2498
0.162882,2498,0,2498,2498
0.162637,2469,0,2469,2469
0.162149,2411,0,2411,2411
0.160928,2268,0,2268,2268
0.160440,2212,0,2212,2212
0.159707,2128,0,2128,2128
0.158974,2044,0,2044,2044
0.158486,1989,0,1989,1989
0.158486,1989,0,1989,1989
0.156777,1798,0,1798,1798
0.156532,1771,0,1771,1771
0.157021,1825,0,1825,1825
0.156044,1718,0,1718,1718
0.155556,1665,0,1665,1665
0.155067,1612,0,1612,1612
0.155067,1612,0,1612,1612
0.154090,1507,0,1507,1507
0.153602,1456,0,1456,1456
0.153358,1430,0,1430,1430
0.153358,1430,0,1430,1430
0.087179,-2705,0,-2705,2705
0.073504,-3023,-100,-2923,2923
5500.0,-1,-1,0,0
0.071551,-3059,0,-3059,3059
0.195604,7032,0,7032,7032
0.192918,6626,3650,2976,2976
0.191697,6442,4788,1654,1654
0.192674,6589,5683,906,906
0.192918,6626,6646,-20,20
0.192430,6552,6863,-311,311
0.192430,6552,7009,-457,457
0.190720,6295,7004,-709,709
0.189744,6149,6917,-768,768
0.188278,5931,6854,-923,923
0.186325,5643,6689,-1046,1046
0.184860,5429,6519,-1090,1090
0.183639,5251,6427,-1176,1176
0.181929,5006,6249,-1243,1243
0.180220,4763,6158,-1395,1395
0.179976,4728,5977,-1249,1249
0.178755,4557,5892,-1335,1335
0.177045,4320,5708,-1388,1388
0.176068,4186,5619,-1433,1433
