AO,MQ-4,Nano,Diff,|Diff|
0.358616,171,0,171,171
0.346422,139,0,139,139
0.000972,0,0,0,0
0.001101,0,0,0,0
0.001634,0,0,0,0
0.001253,0,0,0,0
0.001211,0,0,0,0
0.001751,0,0,0,0
0.001453,0,0,0,0
0.001155,0,0,0,0
0.001702,0,0,0,0
0.001512,0,0,0,0
0.00117,0,0,0,0
0.001827,0,0,0,0
0.001258,0,0,0,0
0.00127,0,0,0,0
0.001751,0,0,0,0
0.001172,0,0,0,0
0.001385,0,0,0,0
0.001827,0,0,0,0
0.001253,0,0,0,0
0.001221,0,0,0,0
0.001827,0,0,0,0
0.00148,0,0,0,0
0.001128,0,0,0,0
0.001731,0,0,0,0
0.001426,0,0,0,0
0.00114,0,0,0,0
0.001788,0,0,0,0
0.001284,0,0,0,0
0.001399,0,0,0,0
0.001722,0,0,0,0
0.001111,0,0,0,0
0.001714,0,0,0,0
0.001448,0,0,0,0
0.001228,0,0,0,0
0.001814,0,0,0,0
0.001258,0,0,0,0
0.00146,0,0,0,0
0.001714,0,0,0,0
0.001126,0,0,0,0
0.001556,0,0,0,0
0.063245,0,0,0,0
0.124901,1,0,1,1
0.195673,9,0,9,9
0.258349,31,0,31,31
0.307504,73,0,73,73
0.340867,127,0,127,127
0.361165,178,0,178,178
0.37,206,0,206,206
0.374,220,0,220,220
0.373783,219,0,219,219
0.371048,209,0,209,209
0.001365,0,0,0,0
0.001204,0,0,0,0
0.001289,0,0,0,0
0.001685,0,0,0,0
0.001074,0,0,0,0
0.001673,0,0,0,0
0.001394,0,0,0,0
0.001363,0,0,0,0
0.001731,0,0,0,0
0.001128,0,0,0,0
0.001648,0,0,0,0
0.001492,0,0,0,0
0.001236,0,0,0,0
0.001719,0,0,0,0
0.00126,0,0,0,0
0.001433,0,0,0,0
0.001709,0,0,0,0
0.001087,0,0,0,0
0.001714,0,0,0,0
0.00127,0,0,0,0
0.001463,0,0,0,0
0.001617,0,0,0,0
0.001194,0,0,0,0
0.00177,0,0,0,0
0.001177,0,0,0,0
0.001521,0,0,0,0
0.001568,0,0,0,0
0.001179,0,0,0,0
0.00177,0,0,0,0
0.001421,0,0,0,0
0.001221,0,0,0,0
0.001788,0,0,0,0
0.001314,0,0,0,0
0.001414,0,0,0,0
0.042459,0,0,0,0
0.095018,0,0,0,0
0.162723,4,0,4,4
0.227841,17,0,17,17
0.282229,47,0,47,47
0.322977,94,0,94,94
0.349453,147,0,147,147
0.36423,187,0,187,187
0.369873,205,0,205,205
0.371036,209,0,209,209
0.370564,208,0,208,208
0.367883,199,0,199,199
0.365138,190,0,190,190
0.361926,180,0,180,180
0.358874,171,0,171,171
0.355834,163,0,163,163
0.001487,0,0,0,0
0.001035,0,0,0,0
0.001411,0,0,0,0
0.001575,0,0,0,0
0.001094,0,0,0,0
0.001722,0,0,0,0
0.001353,0,0,0,0
0.001316,0,0,0,0
0.001766,0,0,0,0
0.001206,0,0,0,0
0.001541,0,0,0,0
0.001734,0,0,0,0
0.001104,0,0,0,0
0.001748,0,29495,-29495,29495
0.00178,0,13517,-13517,13517
0.001612,0,8916,-8916,8916
0.001277,0,3439,-3439,3439
0.001114,0,0,0,0
0.001678,0,0,0,0
0.001592,0,0,0,0
0.001126,0,0,0,0
0.00158,0,0,0,0
0.001734,0,0,0,0
0.063138,0,0,0,0
0.12084,1,0,1,1
0.183021,7,0,7,7
0.236444,21,0,21,21
0.281568,47,0,47,47
0.310967,77,0,77,77
0.331101,108,0,108,108
0.343558,133,0,133,133
0.350188,148,0,148,148
0.353333,156,0,156,156
0.35482,160,0,160,160
0.352015,153,0,153,153
0.348999,146,0,146,146
0.347556,142,0,142,142
0.34471,136,0,136,136
0.342486,131,0,131,131
0.342095,130,0,130,130
0.34116,128,0,128,128
0.340313,126,0,126,126
0.328212,103,0,103,103
0.000969,0,0,0,0
0.001433,0,0,0,0
0.001604,0,0,0,0
0.001109,0,0,0,0
0.0016,0,0,0,0
0.001548,0,0,0,0
0.001148,0,0,0,0
0.001695,0,0,0,0
0.001475,0,0,0,0
0.001265,0,0,0,0
0.001719,0,0,0,0
0.001495,0,0,0,0
0.001121,0,0,0,0
0.001609,0,0,0,0
0.00169,0,0,0,0
0.001189,0,0,0,0
0.001304,0,0,0,0
0.050867,0,0,0,0
0.100188,0,0,0,0
0.159272,4,0,4,4
0.216967,14,0,14,14
0.260317,32,0,32,32
0.293937,58,0,58,58
0.318242,87,0,87,87
0.331316,109,0,109,109
0.336696,119,0,119,119
0.340303,126,0,126,126
0.339866,125,0,125,125
0.341824,129,0,129,129
0.343507,133,0,133,133
0.342406,130,0,130,130
0.341299,128,0,128,128
0.339604,125,0,125,125
0.339516,124,0,124,124
0.337909,121,0,121,121
0.337008,119,0,119,119
0.337829,121,0,121,121
0.33641,118,0,118,118
0.336134,118,0,118,118
0.335653,117,0,117,117
0.334669,115,0,115,115
0.333172,112,0,112,112
0.333407,112,0,112,112
0.33273,111,0,111,111
0.333565,113,0,113,113
0.33263,111,0,111,111
0.33092,108,0,108,108
0.329751,106,0,106,106
0.33063,107,0,107,107
0.313004,80,0,80,80
0.322955,94,0,94,94
0.307218,73,0,73,73
0.308855,75,0,75,75
0.307138,72,0,72,72
0.00126,0,0,0,0
0.001045,0,0,0,0
0.001592,0,0,0,0
0.001302,0,0,0,0
0.001216,0,0,0,0
0.001714,0,0,0,0
0.001299,0,0,0,0
0.001343,0,0,0,0
0.004794,0,0,0,0
0.001043,0,0,0,0
0.001602,0,0,0,0
0.001653,0,0,0,0
0.001116,0,0,0,0
0.001468,0,0,0,0
0.001849,0,0,0,0
0.001333,0,0,0,0
0.001226,0,0,0,0
0.001763,0,0,0,0
0.001509,0,0,0,0
0.001121,0,0,0,0
0.001619,0,0,0,0
0.001766,0,0,0,0
0.001231,0,0,0,0
0.001299,0,0,0,0
0.001832,0,0,0,0
0.001299,0,0,0,0
0.001277,0,0,0,0
0.001817,0,0,0,0
0.00115,0,0,0,0
0.001556,0,0,0,0
0.001629,0,0,0,0
0.001138,0,0,0,0
0.001773,0,0,0,0
0.001433,0,0,0,0
0.001275,0,0,0,0
0.001773,0,0,0,0
0.001243,0,0,0,0
0.001607,0,0,0,0
0.001763,0,0,0,0
0.035009,0,0,0,0
0.082901,0,0,0,0
0.139814,2,0,2,2
0.198383,10,0,10,10
0.245797,25,0,25,25
0.281551,47,0,47,47
0.312501,79,0,79,79
0.331519,109,0,109,109
0.341863,129,0,129,129
0.343651,133,0,133,133
0.344532,135,0,135,135
